time_UTC,az_deg,el_deg,az_rate_deg_s,el_rate_deg_s,slant_range_km,range_rate_km_s,subpoint_lat,subpoint_lon,subpoint_alt_km
2026-06-18 10:40:13.816,98.55013487697956,32.0227390311537,0.0025359162931075257,0.002769694116878182,364252.1986258432,0.08925316871544542,18.3538304278424,69.61039774545088,361294.3278997595
2026-06-18 10:41:13.816,98.72961275358438,32.188482838645974,0.0025320799170074106,0.0027555801007225515,364257.92174676264,0.10095117599960712,18.36403885610206,69.37590834236778,361315.560195857
2026-06-18 10:42:13.815,98.90917700194687,32.353386594460055,0.002528957200160077,0.002741172121243199,364264.31106288364,0.11186360380651728,18.373890739261665,69.1421889078075,361337.3514584576
2026-06-18 10:43:13.816,99.08887269997358,32.51741783219276,0.002526580168695839,0.0027265027087727935,364271.3326989017,0.1219391625963695,18.383338908248486,68.90923535780968,361359.66512001003
2026-06-18 10:44:13.816,99.26875321067206,32.680562074223204,0.0025249612297251036,0.002711612638682298,364278.93050791684,0.1311468300729839,18.392344182908474,68.6770252585182,361382.44403802877
2026-06-18 10:45:13.816,99.44887368732505,32.84280726609096,0.002524111052669434,0.0026965403529875067,364287.0557260761,0.13946101998702254,18.40086825672867,68.44553341565748,361405.6386887938
2026-06-18 10:46:13.816,99.62928966465057,33.004143660804765,0.0025240393194682865,0.002681326791677616,364295.6505968658,0.14685152656163325,18.408874482473717,68.21473281510774,361429.1907796351
2026-06-18 10:47:13.816,99.8100579957006,33.16456402982915,0.0025247507427129767,0.002666011926020214,364304.6622279474,0.15329621473383792,18.416327460290795,67.98459391008986,361453.0471224935
2026-06-18 10:48:13.816,99.99123562692473,33.32406340041136,0.002526252047775825,0.0026506341334124636,364314.0301713668,0.1587790792748347,18.423193600118584,67.75508555825874,361477.1471881434
2026-06-18 10:49:13.816,100.17288084550664,33.48263931589468,0.002528547029098328,0.002635236869456176,364323.70003920636,0.16327377510165864,18.42944056632195,67.52617408054823,361501.43674314435
2026-06-18 10:50:13.816,100.35505152582853,33.64029185091116,0.002531634973087413,0.002619862147015383,364333.60698423686,0.16676093234587963,18.435038345888668,67.29782431339696,361525.8513305301
2026-06-18 10:51:13.815,100.53780634677345,33.79702367273822,0.0025355122226231866,0.0026045532670927888,364343.6924786376,0.16922664535787568,18.4399585664457,67.06999883832223,361550.33305076737
2026-06-18 10:52:13.816,100.72120378549944,33.95283991333844,0.0025401724910563616,0.00258934873261342,364353.8970557363,0.17067478261746327,18.44417501055154,66.84265868893607,361574.82328988635
2026-06-18 10:53:13.815,100.90530186982977,34.10774799636223,0.002545612133147339,0.002574289097791695,364364.15640427725,0.17110806537929157,18.44766364862365,66.61576362402418,361599.2587962669
2026-06-18 10:54:13.816,101.0901591307606,34.26175801121341,0.0025518211936181247,0.0025594200205530087,364374.41395467176,0.17053330599428662,18.450402342443304,66.38927128807653,361623.5842975149
2026-06-18 10:55:13.816,101.27583259288106,34.41488262991304,0.0025587820610502797,0.002544782591153869,364384.60435577924,0.16895057696606486,18.452371974513753,66.16313848525107,361647.73596934107
2026-06-18 10:56:13.815,101.46237890051282,34.56713683208924,0.002566476889487511,0.0025304115112417275,364394.6691877763,0.16634743635339078,18.453555585361013,65.93732071150146,361671.6571193167
2026-06-18 10:57:13.816,101.64985372247945,34.71853763076368,0.0025748897732910977,0.0025163414640489716,364404.5489628757,0.1627294536930597,18.45393853767386,65.71177270825629,361695.2901619669
2026-06-18 10:58:13.816,101.83831162447699,34.869104149473124,0.002584003217274022,0.002502608130640974,364414.1826047141,0.1581156103686574,18.45350864685572,65.48644848274405,361718.5761026133
2026-06-18 10:59:13.816,102.02780586938428,35.01885764290561,0.0025937964795202328,0.0024892468621261223,364423.5072655731,0.1525152075319971,18.45225631116699,65.26130141471762,361741.4543559668
2026-06-18 11:00:13.816,102.21838906649816,35.1678215168467,0.0026042459401040335,0.0024762927022227645,364432.46822671423,0.14594099599966182,18.450174145174582,65.036283860799,361763.87264436425
2026-06-18 11:01:13.816,102.4101116602263,35.31602122021783,0.00261532495907947,0.0024637761586405326,364441.0035569465,0.13841563918750666,18.447257784717003,64.81134813366901,361785.77164671134
2026-06-18 11:02:13.815,102.60302276964984,35.46348369077631,0.002627008013195515,0.0024517264444930287,364449.0605024883,0.12997425200569612,18.443504991556065,64.58644641735164,361807.1013353406
2026-06-18 11:03:13.816,102.79717007881756,35.61023793202949,0.002639266929255895,0.0024401729798457453,364456.58693547535,0.12065172605916974,18.43891613926541,64.36153040129703,361827.81247601914
2026-06-18 11:04:13.816,102.992598759818,35.75631464575219,0.00265207089890423,0.0024291437742257863,364463.52484255616,0.11047251928954971,18.433494565317925,64.13655219395993,361847.8500820933
2026-06-18 11:05:13.816,103.18935254636517,35.90174586913347,0.0026653874511613925,0.002418663542324521,364469.82955476333,0.09946707091123219,18.427245677771257,63.91146396229206,361867.17260879895
2026-06-18 11:06:13.816,103.38747251968977,36.04656534466934,0.002679182020383469,0.002408756201284147,364475.44834051904,0.0876705106772242,18.420177927283316,63.68621836812542,361885.7305808789
2026-06-18 11:07:13.815,103.58699782077034,36.19080816884322,0.002693417607143471,0.0023994410968444157,364480.3359721949,0.07513474818026467,18.412302130281322,63.46076841457619,361903.4821238746
2026-06-18 11:08:13.816,103.78796508412604,36.334510238868006,0.002708060364584018,0.0023907336531637123,364484.4520840854,0.061899881221662234,18.403631388214855,63.23506818605956,361920.39027305576
2026-06-18 11:09:13.816,103.99040847797441,36.47770843263217,0.002723075218105862,0.0023826513277857174,364487.7552625681,0.04798407253405301,18.39418119456978,63.009072682821916,361936.4170790103
2026-06-18 11:10:13.816,104.19435966831246,36.620440930579974,0.002738423913840768,0.002375209863101161,364490.2009034275,0.03343746517305135,18.383969680125325,62.782737606990764,361951.5214928719
2026-06-18 11:11:13.816,104.39984798788252,36.76274646426755,0.0027540670729273714,0.0023684206064720392,364491.7560540897,0.018310770560012735,18.37301695252718,62.556019826963606,361965.67413994845
2026-06-18 11:12:13.816,104.60690009191828,36.9046644417106,0.002769966296713372,0.002362292527547859,364492.38906553603,0.0026511471531236452,18.361345382019955,62.328877478252544,361978.8469828189
2026-06-18 11:13:13.815,104.81553954232865,37.046234764309546,0.0027860824184712547,0.002356833586279147,364492.0661435832,-0.013489549081823426,18.34897969140333,62.10127034030223,361991.0098563517
2026-06-18 11:14:13.816,105.0257877958694,37.1874977658708,0.002802374612507583,0.002352048505041353,364490.76418168464,-0.030058243765192394,18.33594634098704,61.873159303874296,362002.14329374616
2026-06-18 11:15:13.816,105.23766267378612,37.328493917937614,0.002818803460443363,0.0023479394199598085,364488.45411358716,-0.04700124411413942,18.322274163992336,61.64450747855116,362012.2218542774
2026-06-18 11:16:13.815,105.451179906293,37.4692638359126,0.0028353285259592144,0.0023445069014809824,364485.1175388193,-0.06426443729642894,18.30799349056528,61.41527928263515,362021.2307475236
2026-06-18 11:17:13.816,105.66635235160334,37.60984810720325,0.002851910190270703,0.0023417470091467553,364480.73768341105,-0.08179694373334279,18.293136449458423,61.18544102227705,362029.1567799363
2026-06-18 11:18:13.815,105.88318954753954,37.75028675100284,0.0028685120567050826,0.0023396556262730854,364475.2981244078,-0.09955420554323968,18.277736805228308,60.954961542990425,362035.9870324446
2026-06-18 11:19:13.816,106.1016992752828,37.89061990024725,0.002885094979918986,0.0023382291069626985,364468.79019769334,-0.1174819712789601,18.261829579646577,60.723810812978776,362041.7163267899
2026-06-18 11:20:13.816,106.32188575609894,38.030887269768165,0.0029016194211587774,0.002337458287053641,364461.2014303638,-0.13551682482518146,18.24545163941769,60.49196136672491,362046.3356129237
2026-06-18 11:21:13.816,106.54375060630606,38.17112780190144,0.002918049165395705,0.0023373330944992604,364452.5269979996,-0.1536052776434893,18.228640889791926,60.25938799941291,362049.8433947836
2026-06-18 11:22:13.816,106.76729307380415,38.31137994542445,0.002934346179476452,0.0023378433135252674,364442.76692423533,-0.17169451017571546,18.211436336082706,60.02606741985786,362052.242954828
2026-06-18 11:23:13.816,106.99250961920026,38.4516814309074,0.002950470555804225,0.00233897450067813,364431.92547108326,-0.18972640708368438,18.193878126246688,59.791978657791255,362053.5417245874
2026-06-18 11:24:13.816,107.21939315431868,38.59206880490247,0.0029663879420570773,0.0023407065703838475,364420.0035607045,-0.20764764123333546,18.176007603524315,59.55710383294779,362053.74366832036
2026-06-18 11:25:13.816,107.44793545907348,38.732577901655304,0.002982067888881949,0.002343022682621966,364407.0107997812,-0.225409380433244,18.157866331279525,59.32142639200752,362052.8613471664
2026-06-18 11:26:13.816,107.67812475790501,38.873242934373245,0.0029974770762749995,0.002345904546778842,364392.9576770925,-0.24295766978832845,18.139496702357075,59.08493318185632,362050.9080402361
2026-06-18 11:27:13.815,107.90994766940337,39.01409737195648,0.003012584505124203,0.002349332865847004,364377.8593740938,-0.26023888866433165,18.120941520207946,58.84761266717133,362047.90163063427
2026-06-18 11:28:13.816,108.1433884362852,39.155173386084414,0.003027358019681479,0.002353286124242805,364361.73602824827,-0.27720240292144727,18.102243980528876,58.60945577661927,362043.86482266476
2026-06-18 11:29:13.816,108.3784283263525,39.29650180775314,0.0030417679895684883,0.0023577397616106693,364344.6022476789,-0.2937991994549103,18.08344794047376,58.370456266951194,362038.8146535816
2026-06-18 11:30:13.816,108.61504703733868,39.438111758253434,0.0030557860149227705,0.0023626688111649872,364326.4874780427,-0.30997822438985967,18.064596862380924,58.13061017099447,362032.78282933217
2026-06-18 11:31:13.816,108.85322176165364,39.580031131681096,0.00306938577924709,0.002368046617096827,364307.41311506496,-0.32569297562765787,18.045734660379445,57.88991597229225,362025.7928805219
2026-06-18 11:32:13.816,109.0929280062103,39.722285889371356,0.0030825417125831685,0.002373846430955473,364287.4135216195,-0.3408958840222134,18.026904703798127,57.64837463727967,362017.8811193975
2026-06-18 11:33:13.816,109.33413900570135,39.86490064754818,0.003095229876364539,0.0023800387769711937,364266.5156872508,-0.3555433335600515,18.008150552772346,57.40598951212038,362009.0763517134
2026-06-18 11:34:13.816,109.57682670799278,40.00789800521858,0.0031074295559554432,0.002386594710219163,364244.7590475746,-0.3696013627791803,17.989514905583256,57.162766229919306,361999.41963926144
2026-06-18 11:35:13.816,109.82096059982551,40.15129890992109,0.0031191195939042973,0.002393485806039879,364222.17498932517,-0.3830333081742179,17.97104046934708,56.91871310903925,361988.9438386144
2026-06-18 11:36:13.815,110.06650919785349,40.29512257517957,0.003130279910093351,0.0024006813784327383,364198.80479030503,-0.39579818248376064,17.952769086522864,56.6738403457501,361977.6915342794
2026-06-18 11:37:13.816,110.31343930638211,40.43938632274881,0.003140890853663605,0.0024081493226356544,364174.69127260183,-0.4078615972832438,17.93474198352017,56.42816053987765,361965.70668065595
2026-06-18 11:38:13.815,110.56171569088129,40.58410540302566,0.003150935947500136,0.002415853200611571,364149.87418915634,-0.41918943620178517,17.916999779263662,56.181688992327885,361953.0299753984
2026-06-18 11:39:13.816,110.81130274015857,40.729292926281595,0.003160406285164974,0.0024237585576225985,364124.4028497166,-0.42974821287162523,17.899581552871705,55.93444277832031,361939.7114805893
2026-06-18 11:40:13.816,111.06216320448732,40.874960085862426,0.003169293537034336,0.0024318369307114456,364098.3194165653,-0.439503114734074,17.882525641305115,55.686441299372284,361925.79394038476
2026-06-18 11:41:13.815,111.31425961172556,41.021116429332835,0.0031775854942309133,0.002440059321407406,364071.675602001,-0.4484212091046995,17.865869083982652,55.43770527516182,361911.32950070983
2026-06-18 11:42:13.816,111.56755330759894,41.167769715373815,0.0031852693686061553,0.0024483922494560116,364044.5232039954,-0.45648007957605685,17.849647987469222,55.18825738196508,361896.3702360842
2026-06-18 11:43:13.816,111.82200406196887,41.314925270735124,0.0031923362418323975,0.0024567987796693296,364016.91520071233,-0.46366545926100056,17.8338972125685,54.93812291231123,361880.9691917242
2026-06-18 11:44:13.816,112.07757099613285,41.462586522579535,0.003198782264301824,0.002465243425729134,363988.89998434356,-0.46996740443092033,17.818650291524214,54.68732884082888,361865.1746644773
2026-06-18 11:45:13.816,112.33421346370801,41.61075479391544,0.003204605867650946,0.0024736939989560298,363960.5351680276,-0.4753707189927754,17.803938803553304,54.43590345441166,361849.043993675
2026-06-18 11:46:13.816,112.59188982614006,41.75942961652697,0.003209805096207465,0.002482120351506823,363931.871087238,-0.47985356919377775,17.789793210458612,54.183876817876694,361832.6270910335
2026-06-18 11:47:13.815,112.8505582361426,41.90860843513375,0.0032143772632150566,0.0024904918459234195,363902.9670365483,-0.48339499167935784,17.776242206848654,53.931280525453765,361815.9826543131
2026-06-18 11:48:13.816,113.11017680610595,42.05828719196888,0.0032183192727259957,0.00249877553664261,363873.88084767363,-0.4859785490021977,17.76331307191929,53.678147175875424,361799.1677952854
2026-06-18 11:49:13.816,113.37070211900316,42.20845931348572,0.0032216311859610855,0.0025069348556127223,363844.66689421894,-0.4876002190747597,17.751031609038137,53.4245119116033,361782.235964112
2026-06-18 11:50:13.816,113.63209190109767,42.35911636566923,0.003224318557802519,0.002514933866251605,363815.3861851989,-0.48825760903643456,17.73942131383805,53.17041041132922,361765.2470977305
2026-06-18 11:51:13.816,113.89430340839228,42.510247834769245,0.0032263891216208367,0.0025227405690014144,363786.09257264226,-0.4879444133598776,17.72850398864457,52.915879945201034,361748.25381273514
2026-06-18 11:52:13.815,114.1572944031359,42.661841087865454,0.003227849724845679,0.0025303248489390467,363756.8477223355,-0.4866614359764334,17.718299206098045,52.660958836297695,361731.31637385534
2026-06-18 11:53:13.816,114.42102326970894,42.81388207256533,0.003228707778472004,0.002537656342726196,363727.7096434779,-0.48441293145850217,17.708824785443642,52.40568589192379,361714.49128362
2026-06-18 11:54:13.816,114.68544812859304,42.96635449960208,0.0032289730413598504,0.002544704874207759,363698.737218267,-0.4811984554574895,17.700096574031818,52.15010145940714,361697.8357468067
2026-06-18 11:55:13.816,114.950527677723,43.119240626019895,0.003228656346844145,0.0025514417505626196,363669.9841644301,-0.4770161990074486,17.692128634503725,51.8942463873927,361681.401699162
2026-06-18 11:56:13.816,115.21622170108354,43.27252099051448,0.003227767840079718,0.0025578372225617137,363641.51000050217,-0.47187235022434404,17.684932783662607,51.638161910479205,361665.2467522616
2026-06-18 11:57:13.816,115.48249016724944,43.4261739375889,0.003226320880248162,0.0025638591925136824,363613.37560565694,-0.46577903805365306,17.67851864846971,51.38189046742639,361649.42971776455
2026-06-18 11:58:13.815,115.74929382474618,43.58017624610535,0.003224334255987232,0.002569478590457284,363585.63319957966,-0.45875478452517093,17.67289386816793,51.125474907426394,361634.0006400263
2026-06-18 11:59:13.816,116.01659534455428,43.73450316925626,0.003221825045889176,0.002574672236471803,363558.34118341206,-0.45082462192534756,17.66806357457225,50.86895781112482,361619.0156419115
2026-06-18 12:00:13.816,116.2843570567818,43.88912823886533,0.0032188073143255692,0.0025794162559844877,363531.5499526589,-0.44201135228299826,17.664031297029833,50.61238289490825,361604.5227243082
2026-06-18 12:01:13.815,116.55254321138774,44.04402378119044,0.0032152978194271795,0.0025836830367388574,363505.31348373956,-0.4323335272259268,17.66079829817723,50.35579336701141,361590.5733949676
2026-06-18 12:02:13.816,116.82111911526583,44.19916034542413,0.0032113187438636134,0.0025874463974881884,363479.68490411254,-0.42180850379798507,17.658363540088278,50.09923278544189,361577.2181954753
2026-06-18 12:03:13.815,117.09005107210439,44.35450704800614,0.003206892181324414,0.0025906841311849047,363454.7111335457,-0.41045356482829476,17.656723978389714,49.84274484471276,361564.5013718439
2026-06-18 12:04:13.816,117.35930759423357,44.51003169912357,0.003202040400035983,0.0025933742665329488,363430.4456055555,-0.3982889320883434,17.655874099048088,49.58637260183044,361552.47360706865
2026-06-18 12:05:13.816,117.62885793629616,44.665700812530105,0.0031967860240839567,0.002595496415776387,363406.9326582259,-0.38534675257599993,17.655806609875338,49.33015928173047,361541.1764152906
2026-06-18 12:06:13.816,117.89867311666785,44.82147970643375,0.003191151464882196,0.0025970300224350245,363384.217012659,-0.37165990872607857,17.656512050654364,49.07414762666712,361530.6516290178
2026-06-18 12:07:13.816,118.16872600135011,44.977332428665264,0.003185161973112852,0.002597953750454771,363362.344105268,-0.35726050207030724,17.657978706859765,48.818379888388485,361520.9417273583
2026-06-18 12:08:13.816,118.43899137236875,45.13322171130265,0.0031788464196202794,0.0025982497917502543,363341.35898125503,-0.34218789491229096,17.660192555994474,48.562897807874876,361512.0887274927
2026-06-18 12:09:13.816,118.70944556454317,45.289109655368286,0.003172231985699037,0.0025979031838393716,363321.29423626245,-0.32647346504590047,17.663137981911945,48.30774235583595,361504.12218152406
2026-06-18 12:10:13.816,118.98006749564722,45.44495714759329,0.003165345949076059,0.00259689863186514,363302.1924694822,-0.3101491191163248,17.66679685716198,48.05295354475789,361497.0815845788
2026-06-18 12:11:13.816,119.25083732609842,45.60072413980992,0.0031582173455716226,0.002595221192543611,363284.08670674945,-0.29325477654194465,17.671149381904296,47.79857098103503,361490.9968215312
2026-06-18 12:12:13.815,119.52173825434241,45.756370089153876,0.0031508766967420655,0.0025928582237930288,363267.0096422022,-0.2758359197961937,17.6761736527371,47.54463256555743,361485.8974434732
2026-06-18 12:13:13.816,119.79275542862533,45.91185331202063,0.0031433543541756225,0.0025897988839923614,363250.9957804569,-0.2579368602422978,17.681845647939323,47.291175527734445,361481.8147608442
2026-06-18 12:14:13.816,120.06387583497813,46.067131823093696,0.0031356817118985635,0.0025860331622737658,363236.0666476401,-0.2396019469935151,17.688139963005312,47.03823592828298,361478.7671206252
2026-06-18 12:15:13.816,120.3350897644515,46.222163010461,0.003127890923379626,0.002581553422897048,363222.251252027,-0.22087468241551633,17.69502892964936,46.785848058310535,361476.7803419544
2026-06-18 12:16:13.816,120.60638918204286,46.376903820711945,0.0031200140967725413,0.0025763530283430666,363209.568443306,-0.2018020495310573,17.70248349869278,46.53404522387609,361475.8700904395
2026-06-18 12:17:13.816,120.877769279615,46.53131085802354,0.0031120836873148364,0.002570426889606317,363198.04075850494,-0.1824342919898143,17.710472668796218,46.28285881951256,361476.05573199835
2026-06-18 12:18:13.816,121.14922710964562,46.68534046201019,0.0031041323824809778,0.002563771470855278,363187.6810782912,-0.16282126093814853,17.718964163896153,46.032319037016435,361477.3469958256
2026-06-18 12:19:13.816,121.42076312604135,46.83894879298529,0.0030961932117881123,0.0025563840599039126,363178.50684102403,-0.1430117419915753,17.727923866732908,45.78245395905259,361479.7581942911
2026-06-18 12:20:13.816,121.69237953896825,46.99209187467311,0.0030883009060840507,0.002548263203456883,363170.5232806356,-0.12305789417743451,17.737316584357426,45.53329044352958,361483.2914653908
2026-06-18 12:21:13.815,121.96408212994734,47.14472563465649,0.0030804903437628324,0.0025394104499413634,363163.7406927831,-0.10301569839529456,17.7471053381359,45.284853097302154,361487.9540406352
