time_UTC,az_deg,el_deg,az_rate_deg_s,el_rate_deg_s,slant_range_km,range_rate_km_s
2026-04-03 02:00:50.814,201.765216,15.599947,0.0016049074074074075,-0.0006532407407407407,39384.7964944554,3.9108904
2026-04-03 02:01:50.814,201.865879,15.5607,0.0016278703703703705,-0.0006599074074074073,39619.15866093553,3.9015771
2026-04-03 02:02:50.814,201.967938,15.521057,0.0016503703703703704,-0.000666574074074074,39852.9647272509,3.8923539
2026-04-03 02:03:50.814,202.071362,15.481018,0.0016723611111111112,-0.0006731944444444445,40086.22005798117,3.8832194
2026-04-03 02:04:50.814,202.17612,15.440584,0.0016938888888888889,-0.0006798148148148148,40318.92994589899,3.8741725
2026-04-03 02:05:50.814,202.28218,15.399756,0.0017149074074074074,-0.0006863888888888888,40551.09960000222,3.8652119
2026-04-03 02:06:50.814,202.389514,15.358534,0.0017355092592592593,-0.0006929629629629629,40782.734170945565,3.8563364
2026-04-03 02:07:50.814,202.498094,15.31692,0.0017556481481481483,-0.000699537037037037,41013.83872261692,3.8475448
2026-04-03 02:08:50.814,202.60789,15.274915,0.0017753240740740741,-0.0007061111111111111,41244.418260561055,3.8388359
2026-04-03 02:09:50.814,202.718875,15.232518,0.0017946296296296295,-0.0007126851851851851,41474.47771253184,3.8302087
2026-04-03 02:10:50.814,202.831024,15.18973,0.0018134722222222222,-0.000719212962962963,41704.02194046005,3.8216619
2026-04-03 02:11:50.814,202.94431,15.146553,0.0018319444444444444,-0.0007257407407407407,41933.05573895746,3.8131945
2026-04-03 02:12:50.814,203.058708,15.102985,0.0018500462962962962,-0.0007323148148148149,42161.58383980471,3.8048053
2026-04-03 02:13:50.814,203.174193,15.059028,0.0018677314814814815,-0.0007388425925925926,42389.61090147949,3.7964933
2026-04-03 02:14:50.814,203.290741,15.014682,0.0018850462962962963,-0.0007453703703703704,42617.14152561233,3.7882575
2026-04-03 02:15:50.814,203.408329,14.969947,0.0019019907407407406,-0.0007518981481481481,42844.18025249857,3.7800967
2026-04-03 02:16:50.814,203.526934,14.924823,0.0019186111111111112,-0.0007583796296296297,43070.731550626624,3.77201
2026-04-03 02:17:50.814,203.646534,14.879311,0.0019348611111111112,-0.0007649074074074074,43296.79983911759,3.7639963
2026-04-03 02:18:50.814,203.767106,14.83341,0.0019507870370370371,-0.0007714351851851851,43522.38946678158,3.7560547
2026-04-03 02:19:50.814,203.88863,14.787121,0.0019663425925925924,-0.0007779629629629629,43747.50473306138,3.7481842
2026-04-03 02:20:50.814,204.011085,14.740444,0.00198162037037037,-0.0007844444444444444,43972.149871576745,3.7403839
2026-04-03 02:21:50.814,204.13445,14.693379,0.001996574074074074,-0.0007909722222222222,44196.329068076084,3.7326527
2026-04-03 02:22:50.814,204.258706,14.645926,0.002011203703703704,-0.0007974999999999999,44420.04644098879,3.7249898
2026-04-03 02:23:50.814,204.383833,14.598085,0.0020255555555555556,-0.0008039814814814815,44643.30605937694,3.7173943
2026-04-03 02:24:50.814,204.509813,14.549856,0.0020395833333333334,-0.0008105092592592592,44866.11194293533,3.7098652
2026-04-03 02:25:50.814,204.636627,14.501239,0.0020533796296296294,-0.000817037037037037,45088.46804852762,3.7024018
2026-04-03 02:26:50.814,204.764256,14.452234,0.002066851851851852,-0.0008235648148148147,45310.378289634114,3.695003
2026-04-03 02:27:50.814,204.892684,14.402841,0.0020800462962962964,-0.0008300925925925927,45531.846521391955,3.6876681
2026-04-03 02:28:50.814,205.021892,14.353059,0.0020930092592592593,-0.000836574074074074,45752.87655106694,3.6803963
2026-04-03 02:29:50.814,205.151864,14.30289,0.002105648148148148,-0.0008431018518518519,45973.472136557575,3.6731866
2026-04-03 02:30:50.814,205.282584,14.252332,0.002118101851851852,-0.0008496296296296296,46193.636983403136,3.6660384
2026-04-03 02:31:50.814,205.414035,14.201386,0.0021302314814814816,-0.0008561574074074075,46413.37475675143,3.6589507
2026-04-03 02:32:50.814,205.546201,14.150051,0.002142175925925926,-0.0008626851851851852,46632.68906340714,3.6519228
2026-04-03 02:33:50.814,205.679068,14.098328,0.0021538425925925926,-0.0008692129629629629,46851.58347127948,3.644954
2026-04-03 02:34:50.814,205.812619,14.046216,0.0021652777777777777,-0.000875787037037037,47070.061500406344,3.6380435
2026-04-03 02:35:50.814,205.94684,13.993716,0.0021765277777777777,-0.0008823148148148148,47288.1266229543,3.6311905
2026-04-03 02:36:50.814,206.081716,13.940827,0.0021874999999999998,-0.0008888425925925927,47505.782270698524,3.6243943
2026-04-03 02:37:50.814,206.217233,13.887548,0.002198287037037037,-0.0008953703703703704,47723.031833526744,3.6176541
2026-04-03 02:38:50.814,206.353378,13.833881,0.0022087962962962964,-0.0009019444444444444,47939.878647471494,3.6109693
2026-04-03 02:39:50.814,206.490136,13.779825,0.0022191666666666666,-0.0009084722222222222,48156.32601415777,3.6043392
2026-04-03 02:40:50.814,206.627495,13.72538,0.0022293055555555556,-0.0009149999999999999,48372.37719781111,3.5977631
2026-04-03 02:41:50.814,206.76544,13.670545,0.002239212962962963,-0.0009215740740740741,48588.03541328977,3.5912402
2026-04-03 02:42:50.814,206.90396,13.615321,0.002248935185185185,-0.0009281481481481481,48803.30383506054,3.58477
2026-04-03 02:43:50.814,207.043041,13.559708,0.002258472222222222,-0.0009346759259259258,49018.185604678736,3.5783517
